company_name,acc_year,dev_year,dev_lag,incurred_loss,cumulative_paid_loss,bulk_loss,net_ep,ye_1997_reserves
California Cas Grp,1988,1988,1,445,9,394,895,691
California Cas Grp,1988,1989,2,442,36,292,895,691
California Cas Grp,1988,1990,3,471,70,140,895,691
California Cas Grp,1988,1991,4,493,182,72,895,691
California Cas Grp,1988,1992,5,488,300,160,895,691
California Cas Grp,1988,1993,6,358,301,45,895,691
California Cas Grp,1988,1994,7,380,301,63,895,691
California Cas Grp,1988,1995,8,358,301,48,895,691
California Cas Grp,1988,1996,9,346,301,40,895,691
California Cas Grp,1988,1997,10,347,301,45,895,691
California Cas Grp,1989,1989,1,588,5,518,660,691
California Cas Grp,1989,1990,2,386,49,263,660,691
California Cas Grp,1989,1991,3,506,173,320,660,691
California Cas Grp,1989,1992,4,510,260,249,660,691
California Cas Grp,1989,1993,5,502,263,239,660,691
California Cas Grp,1989,1994,6,464,263,201,660,691
California Cas Grp,1989,1995,7,408,263,145,660,691
California Cas Grp,1989,1996,8,344,263,81,660,691
California Cas Grp,1989,1997,9,313,263,45,660,691
California Cas Grp,1989,1998,10,294,263,24,660,691
California Cas Grp,1990,1990,1,649,25,300,344,691
California Cas Grp,1990,1991,2,1271,594,609,344,691
California Cas Grp,1990,1992,3,1106,657,437,344,691
California Cas Grp,1990,1993,4,1141,562,579,344,691
California Cas Grp,1990,1994,5,1020,567,453,344,691
California Cas Grp,1990,1995,6,842,567,275,344,691
California Cas Grp,1990,1996,7,810,567,242,344,691
California Cas Grp,1990,1997,8,618,567,51,344,691
California Cas Grp,1990,1998,9,607,567,40,344,691
California Cas Grp,1990,1999,10,605,568,37,344,691
California Cas Grp,1991,1991,1,603,18,461,667,691
California Cas Grp,1991,1992,2,955,132,699,667,691
California Cas Grp,1991,1993,3,888,242,327,667,691
California Cas Grp,1991,1994,4,1343,705,378,667,691
California Cas Grp,1991,1995,5,1089,706,381,667,691
California Cas Grp,1991,1996,6,1094,706,388,667,691
California Cas Grp,1991,1997,7,825,706,119,667,691
California Cas Grp,1991,1998,8,759,706,53,667,691
California Cas Grp,1991,1999,9,756,706,50,667,691
California Cas Grp,1991,2000,10,718,706,12,667,691
California Cas Grp,1992,1992,1,994,12,908,289,691
California Cas Grp,1992,1993,2,877,115,680,289,691
California Cas Grp,1992,1994,3,771,196,503,289,691
California Cas Grp,1992,1995,4,511,202,309,289,691
California Cas Grp,1992,1996,5,485,202,283,289,691
California Cas Grp,1992,1997,6,287,202,85,289,691
California Cas Grp,1992,1998,7,247,202,45,289,691
California Cas Grp,1992,1999,8,250,202,48,289,691
California Cas Grp,1992,2000,9,216,202,14,289,691
California Cas Grp,1992,2001,10,202,202,0,289,691
California Cas Grp,1993,1993,1,633,0,594,158,691
California Cas Grp,1993,1994,2,634,60,478,158,691
California Cas Grp,1993,1995,3,507,263,210,158,691
California Cas Grp,1993,1996,4,719,391,323,158,691
California Cas Grp,1993,1997,5,494,415,79,158,691
California Cas Grp,1993,1998,6,463,421,43,158,691
California Cas Grp,1993,1999,7,466,421,45,158,691
California Cas Grp,1993,2000,8,435,421,14,158,691
California Cas Grp,1993,2001,9,421,421,0,158,691
California Cas Grp,1993,2002,10,421,421,0,158,691
California Cas Grp,1994,1994,1,341,1,340,231,691
California Cas Grp,1994,1995,2,240,18,194,231,691
California Cas Grp,1994,1996,3,361,165,162,231,691
California Cas Grp,1994,1997,4,388,276,109,231,691
California Cas Grp,1994,1998,5,302,257,43,231,691
California Cas Grp,1994,1999,6,238,172,53,231,691
California Cas Grp,1994,2000,7,191,174,14,231,691
California Cas Grp,1994,2001,8,174,174,0,231,691
California Cas Grp,1994,2002,9,174,174,0,231,691
California Cas Grp,1994,2003,10,174,174,0,231,691
California Cas Grp,1995,1995,1,16,0,16,5,691
California Cas Grp,1995,1996,2,16,0,16,5,691
California Cas Grp,1995,1997,3,4,0,4,5,691
California Cas Grp,1995,1998,4,0,0,0,5,691
California Cas Grp,1995,1999,5,5,0,5,5,691
California Cas Grp,1995,2000,6,1,0,1,5,691
California Cas Grp,1995,2001,7,0,0,0,5,691
California Cas Grp,1995,2002,8,0,0,0,5,691
California Cas Grp,1995,2003,9,0,0,0,5,691
California Cas Grp,1995,2004,10,0,0,0,5,691
California Cas Grp,1996,1996,1,0,0,0,0,691
California Cas Grp,1996,1997,2,0,0,0,0,691
California Cas Grp,1996,1998,3,0,0,0,0,691
California Cas Grp,1996,1999,4,0,0,0,0,691
California Cas Grp,1996,2000,5,0,0,0,0,691
California Cas Grp,1996,2001,6,0,0,0,0,691
California Cas Grp,1996,2002,7,0,0,0,0,691
California Cas Grp,1996,2003,8,0,0,0,0,691
California Cas Grp,1996,2004,9,0,0,0,0,691
California Cas Grp,1996,2005,10,0,0,0,0,691
California Cas Grp,1997,1997,1,0,0,0,0,691
California Cas Grp,1997,1998,2,0,0,0,0,691
California Cas Grp,1997,1999,3,0,0,0,0,691
California Cas Grp,1997,2000,4,0,0,0,0,691
California Cas Grp,1997,2001,5,0,0,0,0,691
California Cas Grp,1997,2002,6,0,0,0,0,691
California Cas Grp,1997,2003,7,0,0,0,0,691
California Cas Grp,1997,2004,8,0,0,0,0,691
California Cas Grp,1997,2005,9,0,0,0,0,691
California Cas Grp,1997,2006,10,0,0,0,0,691
Buckeye Ins Grp,1988,1988,1,61,21,15,108,1352
Buckeye Ins Grp,1988,1989,2,44,33,6,108,1352
Buckeye Ins Grp,1988,1990,3,61,44,4,108,1352
Buckeye Ins Grp,1988,1991,4,72,58,3,108,1352
Buckeye Ins Grp,1988,1992,5,70,69,0,108,1352
Buckeye Ins Grp,1988,1993,6,71,71,0,108,1352
Buckeye Ins Grp,1988,1994,7,71,71,0,108,1352
Buckeye Ins Grp,1988,1995,8,71,71,0,108,1352
Buckeye Ins Grp,1988,1996,9,71,71,0,108,1352
Buckeye Ins Grp,1988,1997,10,71,71,0,108,1352
Buckeye Ins Grp,1989,1989,1,128,43,30,189,1352
Buckeye Ins Grp,1989,1990,2,129,97,24,189,1352
Buckeye Ins Grp,1989,1991,3,114,103,10,189,1352
Buckeye Ins Grp,1989,1992,4,112,109,3,189,1352
Buckeye Ins Grp,1989,1993,5,109,109,0,189,1352
Buckeye Ins Grp,1989,1994,6,109,109,0,189,1352
Buckeye Ins Grp,1989,1995,7,109,109,0,189,1352
Buckeye Ins Grp,1989,1996,8,109,109,0,189,1352
Buckeye Ins Grp,1989,1997,9,109,109,0,189,1352
Buckeye Ins Grp,1989,1998,10,109,109,0,189,1352
Buckeye Ins Grp,1990,1990,1,151,26,81,250,1352
Buckeye Ins Grp,1990,1991,2,145,71,43,250,1352
Buckeye Ins Grp,1990,1992,3,145,105,50,250,1352
Buckeye Ins Grp,1990,1993,4,133,115,10,250,1352
Buckeye Ins Grp,1990,1994,5,127,124,1,250,1352
Buckeye Ins Grp,1990,1995,6,126,125,0,250,1352
Buckeye Ins Grp,1990,1996,7,127,127,0,250,1352
Buckeye Ins Grp,1990,1997,8,127,127,0,250,1352
Buckeye Ins Grp,1990,1998,9,127,127,0,250,1352
Buckeye Ins Grp,1990,1999,10,127,127,0,250,1352
Buckeye Ins Grp,1991,1991,1,155,40,71,303,1352
Buckeye Ins Grp,1991,1992,2,147,71,45,303,1352
Buckeye Ins Grp,1991,1993,3,157,87,33,303,1352
Buckeye Ins Grp,1991,1994,4,127,110,11,303,1352
Buckeye Ins Grp,1991,1995,5,116,110,0,303,1352
Buckeye Ins Grp,1991,1996,6,117,117,0,303,1352
Buckeye Ins Grp,1991,1997,7,119,119,0,303,1352
Buckeye Ins Grp,1991,1998,8,119,119,0,303,1352
Buckeye Ins Grp,1991,1999,9,119,119,0,303,1352
Buckeye Ins Grp,1991,2000,10,119,119,0,303,1352
Buckeye Ins Grp,1992,1992,1,259,-21,114,429,1352
Buckeye Ins Grp,1992,1993,2,372,149,99,429,1352
Buckeye Ins Grp,1992,1994,3,335,231,71,429,1352
Buckeye Ins Grp,1992,1995,4,255,250,0,429,1352
Buckeye Ins Grp,1992,1996,5,242,237,0,429,1352
Buckeye Ins Grp,1992,1997,6,262,262,0,429,1352
Buckeye Ins Grp,1992,1998,7,262,262,0,429,1352
Buckeye Ins Grp,1992,1999,8,262,262,0,429,1352
Buckeye Ins Grp,1992,2000,9,262,262,0,429,1352
Buckeye Ins Grp,1992,2001,10,262,262,0,429,1352
Buckeye Ins Grp,1993,1993,1,276,69,117,402,1352
Buckeye Ins Grp,1993,1994,2,366,149,144,402,1352
Buckeye Ins Grp,1993,1995,3,441,309,79,402,1352
Buckeye Ins Grp,1993,1996,4,376,374,0,402,1352
Buckeye Ins Grp,1993,1997,5,375,375,0,402,1352
Buckeye Ins Grp,1993,1998,6,375,375,0,402,1352
Buckeye Ins Grp,1993,1999,7,375,375,0,402,1352
Buckeye Ins Grp,1993,2000,8,375,375,0,402,1352
Buckeye Ins Grp,1993,2001,9,375,375,0,402,1352
Buckeye Ins Grp,1993,2002,10,375,375,0,402,1352
Buckeye Ins Grp,1994,1994,1,477,-60,343,524,1352
Buckeye Ins Grp,1994,1995,2,385,86,159,524,1352
Buckeye Ins Grp,1994,1996,3,295,139,70,524,1352
Buckeye Ins Grp,1994,1997,4,211,162,0,524,1352
Buckeye Ins Grp,1994,1998,5,210,210,0,524,1352
Buckeye Ins Grp,1994,1999,6,210,210,0,524,1352
Buckeye Ins Grp,1994,2000,7,234,209,0,524,1352
Buckeye Ins Grp,1994,2001,8,214,209,0,524,1352
Buckeye Ins Grp,1994,2002,9,209,209,0,524,1352
Buckeye Ins Grp,1994,2003,10,209,209,0,524,1352
Buckeye Ins Grp,1995,1995,1,607,152,359,805,1352
Buckeye Ins Grp,1995,1996,2,687,314,206,805,1352
Buckeye Ins Grp,1995,1997,3,665,395,78,805,1352
Buckeye Ins Grp,1995,1998,4,599,456,0,805,1352
Buckeye Ins Grp,1995,1999,5,601,486,0,805,1352
Buckeye Ins Grp,1995,2000,6,565,562,0,805,1352
Buckeye Ins Grp,1995,2001,7,564,564,0,805,1352
Buckeye Ins Grp,1995,2002,8,564,564,0,805,1352
Buckeye Ins Grp,1995,2003,9,564,564,0,805,1352
Buckeye Ins Grp,1995,2004,10,564,564,0,805,1352
Buckeye Ins Grp,1996,1996,1,751,154,434,1052,1352
Buckeye Ins Grp,1996,1997,2,743,315,231,1052,1352
Buckeye Ins Grp,1996,1998,3,794,508,80,1052,1352
Buckeye Ins Grp,1996,1999,4,762,612,0,1052,1352
Buckeye Ins Grp,1996,2000,5,706,627,0,1052,1352
Buckeye Ins Grp,1996,2001,6,676,645,0,1052,1352
